,manager,predicted_points_per_season_added,previous_club_names,previous_club_ids,previous_club_countries,current_club_name,current_club_id,currently_employed
181,Constantin Galca,-0.0829803475154747,['Espanyol'],[714],['Spain'],,,0
182,Manolo Márquez,-0.0884833612336594,['Las Palmas'],[472],['Spain'],,,0
183,Miguel Ángel Portugal,-0.0937358119596694,"['Racing Santander', 'Racing Santander']","[630, 630]","['Spain', 'Spain']",,,0
184,Hans Meyer,-0.0969481886614894,"['Nürnberg', 'Borussia Mönchengladbach']","[4, 18]","['Germany', 'Germany']",,,0
185,Renzo Gobbo,-0.0986706240869675,['Palermo'],[458],['Italy'],,,0
186,Gustavo Poyet,-0.102199315684834,"['Sunderland', 'Real Betis', 'Bordeaux']","[289, 150, 40]","['England', 'Spain', 'France']",,,0
187,Ronald Koeman,-0.105862876398406,"['Valencia', 'Southampton', 'Everton']","[1049, 180, 29]","['Spain', 'England', 'England']",,,0
188,Dirk Schuster,-0.108465099499884,"['Darmstadt', 'Augsburg']","[105, 167]","['Germany', 'Germany']",,,0
189,Giovanni Tedesco,-0.10992919877889899,['Palermo'],[458],['Italy'],,,0
190,Juan Carlos Unzué,-0.12251357120197098,['Celta Vigo'],[940],['Spain'],,,0
191,Iñaki Tejada,-0.12352794909586301,['Sporting Gijón'],[2448],['Spain'],,,0
192,Michael Wiesinger,-0.124314634480739,['Nürnberg'],[4],['Germany'],,,0
193,Giovanni Bosi,-0.12461192959343,['Palermo'],[458],['Italy'],,,0
194,Alex Dupont,-0.126312218886138,"['Brest', 'Ajaccio']","[3911, 1147]","['France', 'France']",,,0
195,Roy Keane,-0.13001379157471601,['Sunderland'],[289],['England'],,,0
196,Pierre Dréossi,-0.130677909283459,['Rennes'],[273],['France'],,,0
197,Bernd Schuster,-0.13273433598880197,"['Levante', 'Getafe', 'Real Madrid', 'Málaga']","[3368, 3709, 418, 1084]","['Spain', 'Spain', 'Spain', 'Spain']",,,0
198,Luigi Simoni,-0.134739770792602,['Siena'],[1387],['Italy'],,,0
199,Yves Bertucci,-0.13606782920555902,['Le Mans'],[1164],['France'],,,0
200,Alan Curbishley,-0.13838357523364098,"['Charlton', 'West Ham']","[358, 379]","['England', 'England']",,,0
201,Cosmin Contra,-0.14018413794910198,['Getafe'],[3709],['Spain'],,,0
202,Antonio Mohamed,-0.14094841937232097,['Celta Vigo'],[940],['Spain'],,,0
203,Xavier Gravelaine,-0.14130189342630803,['Istres'],[2580],['France'],,,0
204,José Pasqualetti,-0.14464399685558402,"['Ajaccio', 'Sedan']","[1147, 1081]","['France', 'France']",,,0
205,Jocelyn Gourvennec,-0.14528147842452802,"['Guingamp', 'Bordeaux', 'Guingamp']","[855, 40, 855]","['France', 'France', 'France']",Guingamp,855.0,1
206,Josep María Nogués,-0.153564687261076,['Real Betis'],[150],['Spain'],,,0
207,Llompart,-0.155930048930288,['Mallorca'],[237],['Spain'],,,0
208,Jürgen Kohler,-0.158692377866676,['Duisburg'],[52],['Germany'],,,0
209,Jordi Roura,-0.16422846316950698,"['Barcelona', 'Barcelona']","[131, 131]","['Spain', 'Spain']",,,0
210,Manuel Zambrano,-0.164520206208239,['Recreativo'],[2867],['Spain'],,,0
211,Renzo Ulivieri,-0.164737309006611,['Reggina'],[1386],['Italy'],,,0
212,Frédéric Hantz,-0.16887367419059002,"['Le Mans', 'Sochaux', 'Le Havre', 'Bastia', 'Montpellier', 'Metz']","[1164, 750, 738, 595, 969, 347]","['France', 'France', 'France', 'France', 'France', 'France']",,,0
213,Mauricio Pellegrino,-0.171635366021883,"['Valencia', 'Alavés', 'Southampton', 'Leganés']","[1049, 1108, 180, 1244]","['Spain', 'Spain', 'England', 'Spain']",Leganés,1244.0,1
214,Pacheta,-0.172917588135736,['Numancia'],[2296],['Spain'],,,0
215,Ottmar Hitzfeld,-0.17445393227485298,['Bayern Munich'],[27],['Germany'],,,0
216,Mario Somma,-0.17868281334865302,['Empoli'],[749],['Italy'],,,0
217,Alexander Nouri,-0.181847216746827,['Werder Bremen'],[86],['Germany'],,,0
218,Jean-Luc Vasseur,-0.18422344628369297,['Reims'],[1421],['France'],,,0
219,Markus Weinzierl,-0.19141661486846898,"['Augsburg', 'Schalke', 'Stuttgart']","[167, 33, 79]","['Germany', 'Germany', 'Germany']",Stuttgart,79.0,1
220,Alan Pardew,-0.19406704302769198,"['West Ham', 'Charlton', 'Newcastle', 'Crystal Palace', 'West Bromwich Albion']","[379, 358, 762, 873, 984]","['England', 'England', 'England', 'England', 'England']",,,0
221,Sergije Kresic,-0.196188566607434,['Numancia'],[2296],['Spain'],,,0
222,Davide Ballardini,-0.19631045771891104,"['Cagliari', 'Cagliari', 'Palermo', 'Lazio', 'Genoa', 'Cagliari', 'Genoa', 'Bologna', 'Palermo', 'Palermo', 'Genoa']","[1390, 1390, 458, 398, 252, 1390, 252, 1025, 458, 458, 252]","['Italy', 'Italy', 'Italy', 'Italy', 'Italy', 'Italy', 'Italy', 'Italy', 'Italy', 'Italy', 'Italy']",,,0
223,José Anigo,-0.197829877765326,['Marseille'],[244],['France'],,,0
224,Lorenzo D'Anna,-0.198370796918794,['Chievo'],[862],['Italy'],,,0
225,Christophe Pélissier,-0.20438546818823103,['Amiens'],[1416],['France'],Amiens,1416.0,1
226,Giuseppe Iachini,-0.20489049520036604,"['Chievo', 'Brescia', 'Brescia', 'Siena', 'Palermo', 'Palermo', 'Udinese', 'Sassuolo', 'Empoli']","[862, 19, 19, 1387, 458, 458, 410, 6574, 749]","['Italy', 'Italy', 'Italy', 'Italy', 'Italy', 'Italy', 'Italy', 'Italy', 'Italy']",Empoli,749.0,1
227,Stéphane Moulin,-0.208079296184529,['Angers'],[1420],['France'],Angers,1420.0,1
228,José Ángel Moreno,-0.20875986731236,['Levante'],[3368],['Spain'],,,0
229,Gian Piero Ventura,-0.210081211009221,"['Messina', 'Bari', 'Torino', 'Chievo']","[1104, 332, 416, 862]","['Italy', 'Italy', 'Italy', 'Italy']",,,0
230,Jörg Berger,-0.21183737206950304,['Hansa Rostock'],[30],['Germany'],,,0
231,Rui Almeida,-0.214657672288405,['Bastia'],[595],['France'],,,0
232,Bojan Prasnikar,-0.21633267944715198,['Cottbus'],[25],['Germany'],,,0
233,Neil Adams,-0.21729531297804103,['Norwich'],[1123],['England'],,,0
234,Sergi Barjuán,-0.217572390899167,['Almería'],[3302],['Spain'],,,0
235,Giovanni Stroppa,-0.22071202176212198,['Pescara'],[2921],['Italy'],,,0
236,Bruno Bolchi,-0.2218004211004,['Messina'],[1104],['Italy'],,,0
237,Roberto Mancini,-0.223452635581415,"['Inter Milan', 'Manchester City', 'Inter Milan']","[46, 281, 46]","['Italy', 'England', 'Italy']",,,0
238,Máximo Hernández,-0.224796093808922,['Numancia'],[2296],['Spain'],,,0
239,Horst Köppel,-0.23231228004773002,['Borussia Mönchengladbach'],[18],['Germany'],,,0
240,Andreas Bergmann,-0.232732901648907,['Hannover'],[42],['Germany'],,,0
241,Patrick Remy,-0.233848835443144,['Caen'],[1162],['France'],,,0
242,Hannes Wolf,-0.236133366484082,['Stuttgart'],[79],['Germany'],,,0
243,Glenn Roeder,-0.23631579088735397,['Newcastle'],[762],['England'],,,0
244,Angelo Castellazzi,-0.239210942735195,['AC Milan'],[5],['Italy'],,,0
245,Leo Franco,-0.239441495526265,['Huesca'],[5358],['Spain'],,,0
246,Frank Kramer,-0.23980752576733702,['Greuther Fürth'],[65],['Germany'],,,0
247,Claude Robin,-0.240013080039025,['Troyes'],[1095],['France'],,,0
248,Nigel Adkins,-0.24283181736259804,"['Southampton', 'Reading']","[180, 1032]","['England', 'England']",,,0
249,Fabio Liverani,-0.24764615060023398,['Genoa'],[252],['Italy'],,,0
250,Vanderlei Luxemburgo,-0.24764668739618,['Real Madrid'],[418],['Spain'],,,0
251,Éric Roy,-0.24971732653446801,['Nice'],[417],['France'],,,0
252,Jürgen Kramny,-0.253425491976546,['Stuttgart'],[79],['Germany'],,,0
253,Torsten Frings,-0.25374304929657704,['Darmstadt'],[105],['Germany'],,,0
254,Falko Götz,-0.25654682370520604,['Hertha'],[44],['Germany'],,,0
255,Stefano Colantuono,-0.260914527755369,"['Atalanta', 'Palermo', 'Palermo', 'Atalanta', 'Udinese']","[800, 458, 458, 800, 410]","['Italy', 'Italy', 'Italy', 'Italy', 'Italy']",,,0
256,Kasper Hjulmand,-0.26121219961064995,['Mainz'],[39],['Germany'],,,0
257,Ewald Lienen,-0.261278387058345,['Hannover'],[42],['Germany'],,,0
258,Jesualdo Ferreira,-0.26155930059945004,['Málaga'],[1084],['Spain'],,,0
259,Jean-Guy Wallemme,-0.265535452632978,"['Lens', 'Auxerre']","[826, 290]","['France', 'France']",,,0
260,Otto Rehhagel,-0.26951783072157,['Hertha'],[44],['Germany'],,,0
261,Fabri,-0.275745060816583,['Granada'],[16795],['Spain'],,,0
262,Domingos Paciência,-0.276733945784647,['Deportivo La Coruña'],[897],['Spain'],,,0
263,Bernard Casoni,-0.277890837479024,"['Évian Thonon Gaillard', 'Lorient']","[14171, 1158]","['France', 'France']",,,0
264,Julio Velázquez,-0.28142868878526694,['Udinese'],[410],['Italy'],,,0
265,Kevin Keegan,-0.283117284676987,"['Manchester City', 'Newcastle']","[281, 762]","['England', 'England']",,,0
266,Hervé Renard,-0.28587411622885195,"['Sochaux', 'Lille']","[750, 1082]","['France', 'France']",,,0
267,Alain Casanova,-0.28917670529056,"['Toulouse', 'Toulouse']","[415, 415]","['France', 'France']",Toulouse,415.0,1
268,Hanspeter Latour,-0.29602321638241397,['Köln'],[3],['Germany'],,,0
269,Serge Romano,-0.29633502937794604,['Sedan'],[1081],['France'],,,0
270,Tony Mowbray,-0.298042187154283,['West Bromwich Albion'],[984],['England'],,,0
271,Patrice Garande,-0.298333159501267,['Caen'],[1162],['France'],,,0
272,Daniele Arrigoni,-0.300655424837654,"['Cagliari', 'Cagliari', 'Livorno', 'Bologna', 'Cesena']","[1390, 1390, 1210, 1025, 1429]","['Italy', 'Italy', 'Italy', 'Italy', 'Italy']",,,0
273,Diego Bortoluzzi,-0.301522154451502,"['Treviso', 'Palermo']","[2251, 458]","['Italy', 'Italy']",,,0
274,Guy Roux,-0.303314949519943,"['Auxerre', 'Lens']","[290, 826]","['France', 'France']",,,0
275,Aurelio Andreazzoli,-0.30522545717141,['Empoli'],[749],['Italy'],,,0
276,Eugenio Corini,-0.307883988870682,"['Chievo', 'Chievo', 'Palermo']","[862, 862, 458]","['Italy', 'Italy', 'Italy']",,,0
277,Miguel Cardoso,-0.311014907644264,"['Nantes', 'Celta Vigo']","[995, 940]","['France', 'Spain']",Celta Vigo,940.0,1
278,Javier Calleja,-0.312044884792682,['Villarreal'],[1050],['Spain'],,,0
279,Luis Zubeldía,-0.31243081660209904,['Alavés'],[1108],['Spain'],,,0
280,Miguel Ángel Lotina,-0.31643616306267797,"['Espanyol', 'Real Sociedad', 'Deportivo La Coruña', 'Villarreal']","[714, 681, 897, 1050]","['Spain', 'Spain', 'Spain', 'Spain']",,,0
281,Markus Babbel,-0.324634289694578,"['Stuttgart', 'Hertha', 'Hoffenheim']","[79, 44, 533]","['Germany', 'Germany', 'Germany']",,,0
282,Rudi Völler,-0.328321664171751,['Roma'],[12],['Italy'],,,0
283,Juanma Lillo,-0.33096195260391603,['Almería'],[3302],['Spain'],,,0
284,Gernot Rohr,-0.33225358463399896,['Nice'],[417],['France'],,,0
285,Gérard Houllier,-0.33395159397731106,"['Lyon', 'Aston Villa']","[1041, 405]","['France', 'England']",,,0
286,Patrice Carteron,-0.33917193730061407,['Dijon'],[2969],['France'],,,0
287,Sandro Schwarz,-0.340408746455992,['Mainz'],[39],['Germany'],Mainz,39.0,1
288,Frank Pagelsdorf,-0.34196601926249803,['Hansa Rostock'],[30],['Germany'],,,0
289,Roberto Olabe,-0.34318094957578493,['Almería'],[3302],['Spain'],,,0
290,Roberto Rizzo,-0.34421367700671396,['Lecce'],[1005],['Italy'],,,0
291,Luis García,-0.344335716333035,"['Levante', 'Getafe', 'Villarreal']","[3368, 3709, 1050]","['Spain', 'Spain', 'Spain']",Villarreal,1050.0,1
292,Serse Cosmi,-0.346522914674192,"['Udinese', 'Livorno', 'Palermo', 'Lecce', 'Siena']","[410, 1210, 458, 1005, 1387]","['Italy', 'Italy', 'Italy', 'Italy', 'Italy']",,,0
293,Loris Dominissini,-0.348194452855738,['Udinese'],[410],['Italy'],,,0
294,José Mari Amorrortu,-0.34910575708602803,['Real Sociedad'],[681],['Spain'],,,0
295,Les Reed,-0.351670298583851,['Charlton'],[358],['England'],,,0
296,Arsène Wenger,-0.352987574473814,['Arsenal'],[11],['England'],,,0
297,Cristiano Bergodi,-0.3561310064785829,['Pescara'],[2921],['Italy'],,,0
298,Claude Makélélé,-0.361953707350128,['Bastia'],[595],['France'],,,0
299,Esteban Vigo,-0.36293359970406897,['Hércules'],[7971],['Spain'],,,0
300,Joe Kinnear,-0.36552703812310205,['Newcastle'],[762],['England'],,,0
301,Juan Antonio Pizzi,-0.367115191102238,['Valencia'],[1049],['Spain'],,,0
302,Marco Kurz,-0.36755733236862803,"['Kaiserslautern', 'Hoffenheim']","[2, 533]","['Germany', 'Germany']",,,0
303,Pascal Baills,-0.36916126614600897,['Montpellier'],[969],['France'],,,0
304,Laurent Banide,-0.37402192788234295,"['Monaco', 'Monaco']","[162, 162]","['France', 'France']",,,0
305,Aurelio Gay,-0.375211404338398,['Zaragoza'],[142],['Spain'],,,0
306,Frank Rijkaard,-0.375458427732734,['Barcelona'],[131],['Spain'],,,0
307,Harry Redknapp,-0.37603264560254296,"['Portsmouth', 'Southampton', 'Portsmouth', 'Tottenham', 'QPR']","[1020, 180, 1020, 148, 1039]","['England', 'England', 'England', 'England', 'England']",,,0
308,Michael Skibbe,-0.377416192055609,"['Bayer Leverkusen', 'Eintracht Frankfurt', 'Hertha']","[15, 24, 44]","['Germany', 'Germany', 'Germany']",,,0
309,José Mari Bakero,-0.37772658358514793,['Real Sociedad'],[681],['Spain'],,,0
310,Bernd Hollerbach,-0.38145850191325104,['Hamburg'],[41],['Germany'],,,0
311,Anquela,-0.38365621957970003,['Granada'],[16795],['Spain'],,,0
312,Manolo Preciado †,-0.3838835534736071,"['Racing Santander', 'Sporting Gijón']","[630, 2448]","['Spain', 'Spain']",,,0
313,Paul Clement,-0.3854295549406529,['Swansea'],[2288],['England'],,,0
314,Enrique Martín,-0.386143616533492,['Osasuna'],[331],['Spain'],,,0
315,Chris Hutchings,-0.387090972639583,['Wigan'],[1071],['England'],,,0
316,Sir Bobby Robson,-0.38734636561385205,['Newcastle'],[762],['England'],,,0
317,Albert Ferrer,-0.390638092483002,['Córdoba'],[993],['Spain'],,,0
318,Thierry Laurey,-0.39131752029946,"['Ajaccio GFCO', 'Strasbourg']","[3558, 667]","['France', 'France']",Strasbourg,667.0,1
319,Fabien Mercadal,-0.395576967095817,['Caen'],[1162],['France'],Caen,1162.0,1
320,Heiko Herrlich,-0.39610468282180705,"['Bochum', 'Bayer Leverkusen']","[80, 15]","['Germany', 'Germany']",Bayer Leverkusen,15.0,1
321,Klaus Toppmöller,-0.396864351344718,['Hamburg'],[41],['Germany'],,,0
322,Yvon Pouliquen,-0.398846974817903,['Metz'],[347],['France'],,,0
323,Phil Brown,-0.398981846887146,['Hull'],[3008],['England'],,,0
324,Arnaud Cormier,-0.39902000440685204,['Le Mans'],[1164],['France'],,,0
325,Rafael Benítez,-0.39908228435653603,"['Liverpool', 'Inter Milan', 'Chelsea', 'Napoli', 'Real Madrid', 'Newcastle']","[31, 46, 631, 6195, 418, 762]","['England', 'Italy', 'England', 'Italy', 'Spain', 'England']",Newcastle,762.0,1
326,Francisco,-0.4023087301304021,['Numancia'],[2296],['Spain'],,,0
327,Alan Shearer,-0.403328595406007,['Newcastle'],[762],['England'],,,0
328,Roberto Stellone,-0.406415799496937,['Frosinone'],[8970],['Italy'],,,0
329,Pablo Franco,-0.408714195265206,['Getafe'],[3709],['Spain'],,,0
330,Bob Bradley,-0.41491571173871006,['Swansea'],[2288],['England'],,,0
331,Jean Fernandez,-0.41519519995758297,"['Metz', 'Auxerre', 'Nancy', 'Montpellier']","[347, 290, 1159, 969]","['France', 'France', 'France', 'France']",,,0
332,Paco Flores,-0.41646639197762697,['Gimnàstic'],[5648],['Spain'],,,0
333,Manolo Villanova,-0.41737082138422793,['Zaragoza'],[142],['Spain'],,,0
334,Benito Floro,-0.418031625173656,['Mallorca'],[237],['Spain'],,,0
335,Olivier Dall'Oglio,-0.4206194987131911,['Dijon'],[2969],['France'],Dijon,2969.0,1
336,Brian McDermott,-0.42227060349909096,['Reading'],[1032],['England'],,,0
337,Cristóbal Parralo,-0.42319880648203606,['Deportivo La Coruña'],[897],['Spain'],,,0
338,Eric Hély,-0.427832886688136,['Sochaux'],[750],['France'],,,0
339,Ole Gunnar Solskjaer,-0.43017415929154706,"['Cardiff', 'Manchester United']","[603, 985]",['England'],Manchester United,985.0,1
340,Ezio Rossi,-0.432347343385445,['Treviso'],[2251],['Italy'],,,0
341,Edmund Becker,-0.437061733417592,['Karlsruher'],[48],['Germany'],,,0
342,Wolfgang Wolf,-0.437209826523365,"['Nürnberg', 'Kaiserslautern']","[4, 2]","['Germany', 'Germany']",,,0
343,Paolo Di Canio,-0.4377475845197821,['Sunderland'],[289],['England'],,,0
344,André Schubert,-0.44146994807808704,['Borussia Mönchengladbach'],[18],['Germany'],,,0
345,Joe Zinnbauer,-0.44409039817945206,['Hamburg'],[41],['Germany'],,,0
346,Mariano García Remón,-0.44811876171829,['Real Madrid'],[418],['Spain'],,,0
347,Mané,-0.44871255084756895,"['Athletic Bilbao', 'Espanyol']","[621, 714]","['Spain', 'Spain']",,,0
348,Roberto Di Matteo,-0.451200606392862,"['West Bromwich Albion', 'Chelsea', 'Schalke']","[984, 631, 33]","['England', 'England', 'Germany']",,,0
349,Alex Neil,-0.46147042130713106,['Norwich'],[1123],['England'],,,0
350,Sergio Buso,-0.46166662068872705,['Fiorentina'],[430],['Italy'],,,0
351,Aidy Boothroyd,-0.463063738369477,['Watford'],[1010],['England'],,,0
352,Juan Carlos Mandiá,-0.465569006537185,['Racing Santander'],[630],['Spain'],,,0
353,Michel Estevan,-0.46606071941429794,['Arles'],[11300],['France'],,,0
354,Rolland Courbis,-0.46630620699307107,"['Ajaccio', 'Montpellier', 'Rennes']","[1147, 969, 273]","['France', 'France', 'France']",,,0
355,Luis Fernandez,-0.475196223856937,['Real Betis'],[150],['Spain'],,,0
356,Julien Sablé,-0.47740990180831605,['Saint-Étienne'],[618],['France'],,,0
357,José Francisco Molina,-0.477970968503661,['Villarreal'],[1050],['Spain'],,,0
358,Víctor Espárrago,-0.479155777336001,['Cádiz'],[2687],['Spain'],,,0
359,Onésimo,-0.48270251448777296,['Valladolid'],[366],['Spain'],,,0
360,Olivier Guégan,-0.48372884567222496,['Reims'],[1421],['France'],,,0
361,Mike Phelan,-0.4864450095874339,['Hull'],[3008],['England'],,,0
362,Tintín Márquez,-0.48666316017651,['Espanyol'],[714],['Spain'],,,0
363,Jürgen Röber,-0.48853124184252394,['Borussia Dortmund'],[16],['Germany'],,,0
364,José Antonio Camacho,-0.48984245948413296,"['Real Madrid', 'Osasuna']","[418, 331]","['Spain', 'Spain']",,,0
365,Andries Jonker,-0.489861624572087,['Wolfsburg'],[82],['Germany'],,,0
366,Chuchi Cos,-0.4921936389924829,['Alavés'],[1108],['Spain'],,,0
367,Jacky Duguépéroux,-0.494063190587661,['Strasbourg'],[667],['France'],,,0
368,Roberto Martínez,-0.496403121323712,"['Wigan', 'Everton']","[1071, 29]","['England', 'England']",,,0
369,Giuseppe Sannino,-0.497948467856426,"['Siena', 'Palermo', 'Palermo', 'Chievo', 'Carpi']","[1387, 458, 458, 862, 4102]","['Italy', 'Italy', 'Italy', 'Italy', 'Italy']",,,0
370,Pepe Mel,-0.498009980243714,"['Real Betis', 'West Bromwich Albion', 'Real Betis', 'Deportivo La Coruña']","[150, 984, 150, 897]","['Spain', 'England', 'Spain', 'Spain']",,,0
371,Alan Irvine,-0.499238244505409,['West Bromwich Albion'],[984],['England'],,,0
372,Gertjan Verbeek,-0.500110339766926,['Nürnberg'],[4],['Germany'],,,0
373,Stefan Ruthenbeck,-0.503431369864444,['Köln'],[3],['Germany'],,,0
374,Gonzalo Arconada,-0.504326058981742,"['Real Sociedad', 'Almería']","[681, 3302]","['Spain', 'Spain']",,,0
375,Gerardo Martino,-0.505838432272146,['Barcelona'],[131],['Spain'],,,0
376,Luiz Felipe Scolari,-0.505989212545151,['Chelsea'],[631],['England'],,,0
377,Asier Garitano,-0.5063425078346709,"['Leganés', 'Real Sociedad']","[1244, 681]","['Spain', 'Spain']",Real Sociedad,681.0,1
378,Paul Lambert,-0.510942321011089,"['Norwich', 'Aston Villa', 'Stoke']","[1123, 405, 512]","['England', 'England', 'England']",,,0
379,Michael Laudrup,-0.5110270936588089,"['Getafe', 'Mallorca', 'Swansea']","[3709, 237, 2288]","['Spain', 'Spain', 'England']",,,0
380,Georges Eo,-0.51120982663395,['Nantes'],[995],['France'],,,0
381,Krasimir Balakov,-0.5131053276983111,['Kaiserslautern'],[2],['Germany'],,,0
382,Laurent Roussey,-0.5141681149541,['Saint-Étienne'],[618],['France'],,,0
383,Leonardo Semplici,-0.52040048147117,['SPAL'],[2722],['Italy'],SPAL,2722.0,1
384,Billy Davies,-0.523629077782806,['Derby'],[22],['England'],,,0
385,Clarence Seedorf,-0.524096341833733,"['AC Milan', 'Deportivo La Coruña']","[5, 897]","['Italy', 'Spain']",,,0
386,Erick Mombaerts,-0.525332871696789,['Toulouse'],[415],['France'],,,0
387,Marco Pezzaiuoli,-0.529876643695706,['Hoffenheim'],[533],['Germany'],,,0
388,Owen Coyle,-0.531384080543795,"['Burnley', 'Bolton']","[1132, 355]","['England', 'England']",,,0
389,Christoph Daum,-0.5375981099174639,"['Köln', 'Eintracht Frankfurt']","[3, 24]","['Germany', 'Germany']",,,0
390,Félix Sarriugarte,-0.541988241184609,['Athletic Bilbao'],[621],['Spain'],,,0
391,Giancarlo Camolese,-0.5422784468330021,"['Livorno', 'Torino']","[1210, 416]","['Italy', 'Italy']",,,0
392,Valérien Ismaël,-0.542585598278603,['Wolfsburg'],[82],['Germany'],,,0
393,Aitor Karanka,-0.542868936804739,['Middlesbrough'],[641],['England'],,,0
394,Robin Dutt,-0.546947980354346,"['Freiburg', 'Bayer Leverkusen', 'Werder Bremen']","[60, 15, 86]","['Germany', 'Germany', 'Germany']",,,0
395,Giovanni Trapattoni,-0.5526157356793411,['Stuttgart'],[79],['Germany'],,,0
396,Nedo Sonetti,-0.5580722262041279,"['Cagliari', 'Ascoli', 'Cagliari']","[1390, 408, 1390]","['Italy', 'Italy', 'Italy']",,,0
397,Fran Escribá,-0.5593834497876129,"['Elche', 'Getafe', 'Villarreal']","[1531, 3709, 1050]","['Spain', 'Spain', 'Spain']",,,0
398,Fred Rutten,-0.560379633640301,['Schalke'],[33],['Germany'],,,0
399,Daniel Sanchez,-0.56091274420488,['Valenciennes'],[1423],['France'],,,0
400,Ricky Sbragia,-0.5613244564602711,['Sunderland'],[289],['England'],,,0
401,Emiliano Mondonico,-0.563163012878986,"['Fiorentina', 'Novara']","[430, 6692]","['Italy', 'Italy']",,,0
402,Stefano Pioli,-0.5640832865369579,"['Parma', 'Chievo', 'Bologna', 'Lazio', 'Inter Milan', 'Fiorentina']","[130, 862, 1025, 398, 46, 430]","['Italy', 'Italy', 'Italy', 'Italy', 'Italy', 'Italy']",Fiorentina,430.0,1
403,Petar Vasiljevic,-0.5652368375764051,['Osasuna'],[331],['Spain'],,,0
404,Landry Chauvin,-0.569774997119104,['Brest'],[3911],['France'],,,0
405,Mark Hughes,-0.5705634225366351,"['Blackburn', 'Manchester City', 'Fulham', 'QPR', 'Stoke', 'Southampton']","[164, 281, 931, 1039, 512, 180]","['England', 'England', 'England', 'England', 'England', 'England']",,,0
