country,LogTourists,NoPopModPredictedLogCases,LogCases,NoPopModResidualLogCases,NoPopModPredictedCases,cases,NoPopModResidualCases,oecd
Algeria,7.31777744909453,-0.158064839599401,2.56494935746154,2.72301419706094,0.853794420485498,12,11.1462055795145,FALSE
Angola,7.29966552314102,-0.178554018695852,0,0.178554018695852,0.836478870159266,0,-0.836478870159266,FALSE
Argentina,8.12565686384444,0.755851552265042,0.693147180559945,-0.0627043717050971,2.1294240673956,1,-1.1294240673956,FALSE
Australia,11.95285318955,5.0853806788717,3.97029191355212,-1.11508876531958,161.641461015836,52,-109.641461015836,TRUE
Austria,9.22000681396884,1.99383873153279,3.40119738166216,1.40735865012936,7.34367010181791,29,21.6563298981821,TRUE
Azerbaijan,9.56517233288266,2.38430842277922,1.38629436111989,-0.99801406165933,10.851555380775,3,-7.85155538077501,FALSE
Bahrain,9.44348826879624,2.24665290294933,3.97029191355212,1.7236390106028,9.45603255030849,52,42.5439674496915,FALSE
Bangladesh,9.72469900646193,2.56477352593924,0,-2.56477352593924,12.9977143911571,0,-12.9977143911571,FALSE
Belarus,9.22435269698769,1.99875502678124,1.94591014905531,-0.0528448777259316,7.37986264596442,6,-1.37986264596442,FALSE
Belgium,9.23585078280349,2.01176227626708,3.17805383034795,1.16629155408087,7.4764813702698,23,15.5235186297302,TRUE
Bolivia,8.04493810732829,0.664538178803415,0,-0.664538178803415,1.94359272172492,0,-1.94359272172492,FALSE
Bosnia and Herzegovina,9.15685690862441,1.92240018193585,0,-1.92240018193585,6.83734967366129,0,-6.83734967366129,FALSE
Botswana,7.13525597175908,-0.364542894317285,0,0.364542894317285,0.694514044647738,0,-0.694514044647738,FALSE
Brazil,8.2099575871073,0.85121703804092,1.6094379124341,0.758220874393181,2.34249602457117,4,1.65750397542883,FALSE
Brunei Darussalam,9.34816853444928,2.13882212264059,0,-2.13882212264059,8.48943222746007,0,-8.48943222746007,FALSE
Bulgaria,9.20547859303717,1.97740363118037,0,-1.97740363118037,7.22396254413158,0,-7.22396254413158,FALSE
Cambodia,9.59520657222188,2.41828476027234,0.693147180559945,-1.7251375797124,11.2265865036841,1,-10.2265865036841,FALSE
Cameroon,7.28798287281753,-0.191770057421582,0,0.191770057421582,0.82549666350115,0,-0.82549666350115,FALSE
Canada,9.59715544162816,2.42048942555219,3.52636052461616,1.10587109906397,11.2513646729084,33,21.7486353270916,TRUE
Chile,8.07528290392103,0.698865835267442,0.693147180559945,-0.00571865470749711,2.01147007485496,1,-1.01147007485496,TRUE
Colombia,8.13186044424277,0.76286937412158,0,-0.76286937412158,2.1444205459172,0,-2.1444205459172,FALSE
Cote D'Ivoire,7.28763986050875,-0.192158091286389,0,0.192158091286389,0.825176404980021,0,-0.825176404980021,FALSE
Croatia,9.17056320793058,1.93790548059677,2.39789527279837,0.459989792201597,6.94419098511605,10,3.05580901488395,FALSE
Cyprus,9.42385423272077,2.22444183149458,0,-2.22444183149458,9.24831924244305,0,-9.24831924244305,FALSE
Czech Republic,9.23139385482774,2.00672036102574,2.19722457733622,0.190504216310483,7.43888045486574,8,0.561119545134256,TRUE
Denmark,10.3776779166843,3.30345818443965,2.39789527279837,-0.905562911641276,27.2065617342952,10,-17.2065617342952,TRUE
Djibouti,7.07507555615235,-0.43262219834217,0,0.43262219834217,0.64880556532566,0,-0.64880556532566,FALSE
Ecuador,8.06977953081712,0.692640125342942,2.39789527279837,1.70525514745543,1.99898614662754,10,8.00101385337246,FALSE
Egypt,10.2303602896128,3.13680460751577,1.09861228866811,-2.03819231884766,23.0301587620707,2,-21.0301587620707,FALSE
Estonia,9.09343605849163,1.85065512510671,1.09861228866811,-0.752042836438597,6.36398736512529,2,-4.36398736512529,TRUE
Eswatini,7.08731074568397,-0.418781097719526,0,0.418781097719526,0.657848183975192,0,-0.657848183975192,FALSE
Fiji,8.21465693714227,0.856533194078139,0,-0.856533194078139,2.35498225893281,0,-2.35498225893281,FALSE
Finland,9.19005232863695,1.95995261603726,1.94591014905531,-0.0140424669819483,7.09899067887723,6,-1.09899067887723,TRUE
France,12.061119125205,5.20785689434284,5.65599181081985,0.448134916477017,182.702088448123,285,102.297911551877,TRUE
Gabon,7.13103168414707,-0.369321634339711,0,0.369321634339711,0.691203060054637,0,-0.691203060054637,FALSE
Georgia,9.50241493631223,2.31331390009515,1.38629436111989,-0.927019538975259,10.1078656713261,3,-7.10786567132607,FALSE
Germany,11.9682246366397,5.10276968174196,5.57215403217777,0.469384350435802,164.47682548031,262,97.5231745196902,TRUE
Ghana,7.29766763197742,-0.180814140008806,0,0.180814140008806,0.834590461257443,0,-0.834590461257443,FALSE
Greece,9.23198399729955,2.00738796174519,2.30258509299405,0.295197131248854,7.44384831489831,9,1.5561516851017,TRUE
Guam,8.08432546707929,0.709095266224493,0,-0.709095266224493,2.03215187025983,0,-2.03215187025983,FALSE
Guyana,7.86473411124821,0.460681782799014,0,-0.460681782799014,1.5851543476343,0,-1.5851543476343,FALSE
Hungary,9.22618344258797,2.00082606409557,1.09861228866811,-0.90221377542746,7.3951624546475,2,-5.3951624546475,TRUE
Iceland,8.99526255646895,1.73959601021016,3.29583686600433,1.55624085579417,5.69504221896273,26,20.3049577810373,TRUE
India,10.6366844294709,3.59646020097021,3.36729582998647,-0.229164370983736,36.4689130697741,28,-8.46891306977411,FALSE
Indonesia,12.5839181532622,5.79927510932511,1.09861228866811,-4.700662820657,330.06021559846,2,-328.06021559846,FALSE
Iran,9.68809298018786,2.52336283166719,7.98036576511125,5.45700293344405,12.4704622961004,2922,2909.5295377039,FALSE
Iraq,9.64575286003068,2.47546542378839,3.58351893845611,1.10805351466772,11.8872384293398,35,23.1127615706602,FALSE
Ireland,9.18175203312058,1.95056287792631,1.94591014905531,-0.00465272887099943,7.03264498734332,6,-1.03264498734332,TRUE
Israel,9.55816132608489,2.37637719700595,2.77258872223978,0.396211525233836,10.7658296494998,15,4.2341703505002,TRUE
Italy,11.9192202288189,5.0473332753138,8.03592636989179,2.988593094578,155.606949806616,3089,2933.39305019338,TRUE
Jamaica,7.95800267005121,0.566192163654581,0,-0.566192163654581,1.76154658322877,0,-1.76154658322877,FALSE
Japan,14.036519833331,7.44253580148632,5.80513496891649,-1.63740083256983,1707.07353691096,331,-1376.07353691096,TRUE
Jordan,9.56525764531568,2.38440493276516,0.693147180559945,-1.69125775220522,10.8526027147705,1,-9.85260271477052,FALSE
Kazakhstan,9.60226031847326,2.42626433520084,0,-2.42626433520084,11.3165282631434,0,-11.3165282631434,FALSE
Kenya,8.9298986911799,1.66565291074181,0,-1.66565291074181,5.28912544946974,0,-5.28912544946974,FALSE
Kuwait,9.50922254366538,2.32101502954074,4.04305126783455,1.72203623829381,10.1860081597871,56,45.8139918402129,FALSE
Kyrgyzstan,9.53660767726759,2.35199455697456,0,-2.35199455697456,10.5065046619764,0,-10.5065046619764,FALSE
Laos,9.54370949123403,2.36002850867255,0,-2.36002850867255,10.5912533907046,0,-10.5912533907046,FALSE
Latvia,9.11986181448268,1.88054935328816,0.693147180559945,-1.18740217272822,6.55710604070524,1,-5.55710604070524,TRUE
Lebanon,9.54176941414941,2.35783378973709,2.63905732961526,0.281223539878167,10.5680340556152,13,2.43196594438476,FALSE
Lesotho,7.13066985281339,-0.369730957291754,0,0.369730957291754,0.69092019267364,0,-0.69092019267364,FALSE
Lithuania,9.14511695411835,1.90911931765469,0.693147180559945,-1.21597213709475,6.74714409053404,1,-5.74714409053404,FALSE
Luxembourg,9.03678117553794,1.78656409213174,0.693147180559945,-1.09341691157179,5.96890857320025,1,-4.96890857320025,TRUE
Macedonia Former Yugoslav Republic of,9.12524133177757,1.88663495089884,0,-1.88663495089884,6.59713161580442,0,-6.59713161580442,FALSE
Malaysia,13.0404904124981,6.31577406222318,3.93182563272433,-2.38394842949886,553.230129438158,50,-503.230129438158,FALSE
Maldives,9.36226710258725,2.15477117677894,0,-2.15477117677894,8.62591614320829,0,-8.62591614320829,FALSE
Malta,9.01946670099009,1.76697703270567,0,-1.76697703270567,5.85313276157287,0,-5.85313276157287,FALSE
Mauritania,7.17999593158655,-0.31393065948228,0,0.31393065948228,0.73056968448329,0,-0.73056968448329,FALSE
Mauritius,7.09499709683929,-0.410085886297839,0,0.410085886297839,0.663593254120899,0,-0.663593254120899,FALSE
Mexico,8.18315529016947,0.820896846606548,1.79175946922806,0.970862622621507,2.27253704099982,5,2.72746295900018,TRUE
Mongolia,9.54463166062982,2.36107171600214,0,-2.36107171600214,10.6023080290086,0,-10.6023080290086,FALSE
Montenegro,9.03856413966086,1.78858107648397,0,-1.78858107648397,5.98095991799362,0,-5.98095991799362,FALSE
Morocco,7.30869730566481,-0.168336783368966,0.693147180559945,0.861483963928911,0.845069181508164,1,0.154930818491836,FALSE
Mozambique,7.29713593156516,-0.18141562794556,0,0.18141562794556,0.834088616104899,0,-0.834088616104899,FALSE
Myanmar,11.6118971152212,4.69967293642186,0,-4.69967293642186,109.911218616411,0,-109.911218616411,FALSE
Namibia,7.14088535059785,-0.358174639967881,0,0.358174639967881,0.698950999567096,0,-0.698950999567096,FALSE
Nepal,9.62763412905431,2.45496854648621,0.693147180559945,-1.76182136592627,11.6460672333823,1,-10.6460672333823,FALSE
Netherlands,10.2121216102173,3.11617203814812,3.66356164612965,0.54738960798153,22.5598558763123,38,15.4401441236877,TRUE
New Zealand,11.3287682243392,4.37938239594865,1.38629436111989,-2.99308803482876,79.7887403355685,3,-76.7887403355685,TRUE
Nigeria,7.40152772252565,-0.0633220521061428,0.693147180559945,0.756469232666088,0.938641133653118,1,0.0613588663468816,FALSE
North Korea,9.62209697250029,2.44870461891652,0,-2.44870461891652,11.5733451125909,0,-11.5733451125909,FALSE
Northern Mariana Islands,7.99113019091876,0.60366778661256,0,-0.60366778661256,1.82881421450227,0,-1.82881421450227,FALSE
Norway,9.18762632271351,1.95720818841638,4.04305126783455,2.08584307941817,7.0795347227211,56,48.9204652772789,TRUE
Oman,9.51932444619535,2.33244284183872,2.77258872223978,0.440145880401063,10.3030796103088,15,4.6969203896912,FALSE
Pakistan,9.73909182100302,2.58105544734237,1.79175946922806,-0.789295978114319,13.2110743972447,5,-8.21107439724466,FALSE
Palau,7.87958873972651,0.477486132821436,0,-0.477486132821436,1.61201690793272,0,-1.61201690793272,FALSE
Panama,7.98141954048857,0.592682579610399,0,-0.592682579610399,1.80883425470728,0,-1.80883425470728,FALSE
Papua New Guinea,8.36844029485834,1.03050115123444,0,-1.03050115123444,2.80246994410608,0,-2.80246994410608,FALSE
Peru,8.10674547378736,0.734457976626709,0,-0.734457976626709,2.08435191881136,0,-2.08435191881136,FALSE
Philippines,12.1736914891917,5.3352047718107,1.38629436111989,-3.94891041069081,207.515237728501,3,-204.515237728501,FALSE
Poland,9.30717416363092,2.09244709837207,0.693147180559945,-1.39929991781212,8.10472397421008,1,-7.10472397421008,TRUE
Portugal,9.22935814159121,2.0044174533615,1.79175946922806,-0.212657984133445,7.42176911053822,5,-2.42176911053822,TRUE
Qatar,9.4828211242884,2.29114833223843,2.19722457733622,-0.0939237549022072,9.88628390383474,8,-1.88628390383474,FALSE
Romania,9.26815228495844,2.04830346268955,1.6094379124341,-0.438865550255453,7.75473374487427,4,-3.75473374487427,FALSE
Russia,12.9813653213554,6.24888859766097,1.38629436111989,-4.86259423654107,517.437423813512,3,-514.437423813512,FALSE
Samoa,8.0982206368438,0.724814225246931,0,-0.724814225246931,2.0643475606833,0,-2.0643475606833,FALSE
Saudi Arabia,9.63819873342587,2.4669197918484,0.693147180559945,-1.77377261128845,11.7860872807527,1,-10.7860872807527,FALSE
Senegal,7.26038708294518,-0.222987890492119,1.6094379124341,1.83242580292622,0.800124538350292,4,3.19987546164971,FALSE
Serbia,9.20509692085883,1.97697186320393,0,-1.97697186320393,7.22084414170367,0,-7.22084414170367,FALSE
Seychelles,6.89301626023016,-0.63857740873219,0,0.63857740873219,0.528043079452394,0,-0.528043079452394,FALSE
Singapore,13.0564692712097,6.33385020159897,4.70953020131233,-1.62432000028663,563.321324518477,110,-453.321324518477,FALSE
Slovenia,9.12472499808488,1.88605084661693,0,-1.88605084661693,6.59327932815768,0,-6.59327932815768,TRUE
South Africa,9.77018470522171,2.61622938052967,0,-2.61622938052967,13.6840289199919,0,-13.6840289199919,FALSE
South Korea,12.7359476718133,5.97125902983894,8.63444275146648,2.66318372162754,391.998898500549,5621,5229.00110149945,TRUE
Spain,10.8826404011669,3.87469874759729,5.40717177146012,1.53247302386282,48.1681853236127,222,173.831814676387,TRUE
Sri Lanka,9.61239394057824,2.43772803037814,0.693147180559945,-1.74458084981819,11.4470039313789,1,-10.4470039313789,FALSE
Sweden,10.6275518357308,3.58612892260501,3.58351893845611,-0.00260998414889979,36.0940821524162,35,-1.09408215241621,TRUE
Switzerland,11.7318320530191,4.83534975106713,4.51085950651685,-0.324490244550278,125.882603083186,90,-35.8826030831859,TRUE
Taiwan,13.7587126673633,7.1282654807926,3.76120011569356,-3.36706536509904,1246.71264339944,42,-1204.71264339944,FALSE
Tajikistan,9.55966872276034,2.37808244472681,0,-2.37808244472681,10.7842037176893,0,-10.7842037176893,FALSE
Tanzania,7.33403714076564,-0.139671006963509,0,0.139671006963509,0.869644295257739,0,-0.869644295257739,FALSE
Thailand,14.2529428925913,7.6873651384198,3.78418963391826,-3.90317550450154,2180.62135068081,43,-2137.62135068081,FALSE
Togo,7.2173913149355,-0.271627002279631,0,0.271627002279631,0.76213848399643,0,-0.76213848399643,FALSE
Tunisia,7.24118381276054,-0.244711656537795,0.693147180559945,0.937858837097741,0.782930258519227,1,0.217069741480773,FALSE
Turkey,9.68844034481835,2.52375578911104,0,-2.52375578911104,12.4753636200306,0,-12.4753636200306,TRUE
Turkmenistan,9.53171309922183,2.34645754857255,0,-2.34645754857255,10.4484908171782,0,-10.4484908171782,FALSE
Ukraine,9.31636880576636,2.10284856919987,0.693147180559945,-1.40970138863993,8.18946497570921,1,-7.18946497570921,FALSE
United Arab Emirates,9.5631956247767,2.38207226487373,3.3322045101752,0.950132245301469,10.8273167002822,27,16.1726832997178,FALSE
United Kingdom,11.8153089402749,4.92978326950076,4.45434729625351,-0.475435973247247,138.34952452892,85,-53.3495245289199,TRUE
United States,12.2535643480154,5.42556122057187,5.03695260241363,-0.388608618158241,227.138785510282,153,-74.138785510282,TRUE
Uzbekistan,9.63690900833292,2.46546078586071,0,-2.46546078586071,11.768903847253,0,-11.768903847253,FALSE
Vanuatu,8.13053575088894,0.761370810167421,0,-0.761370810167421,2.1412094012383,0,-2.1412094012383,FALSE
Vietnam,13.4335991214164,6.7604796535599,2.83321334405622,-3.92726630950368,863.056064438218,16,-847.056064438218,FALSE
Zambia,7.26581424380561,-0.216848395932569,0,0.216848395932569,0.805052009212985,0,-0.805052009212985,FALSE
