"","country","cases","continent","km_centroid_dist_to_china","oecd","pop","gdppc_ppp","temp_jan","temp_feb","temp_year","outbound_tour_groups_Q3_2019","outbound_tour_groups_Q3_2019_improved","outbound_tour_groups_Q1_Q3_2019","outbound_tour_groups_Q1_Q3_2019_improved","inbound_tour_groups_Q3_2019_1","inbound_tour_groups_Q3_2019_1_improved","inbound_tour_groups_Q3_2019_2","inbound_tour_groups_Q3_2019_2_improved","inbound_tour_groups_Q1_Q3_2019_1","inbound_tour_groups_Q1_Q3_2019_1_improved","inbound_tour_groups_Q1_Q3_2019_2","inbound_tour_groups_Q1_Q3_2019_2_improved","total_tourists_Q3","in_tourists_Q3","out_tourists_Q3","total_tourists_Q3_improved","in_tourists_Q3_improved","out_tourists_Q3_improved","wuhan_flights_october","wuhan_flights_november","wuhan_flights_december","wuhan_flights_january","wuhan_flights_february","wuhan_flights_total","wuhan_flight_passengers_december","predicted_rf_all_vars"
"1","Algeria",5,"Africa",9102.51491602468,FALSE,42228429,15481.7876195754,11.2808193,12.028022,17.598158,0,3012.70238360563,0,7915.1721109495,0,0,0,0,0,0,0,0,0,0,0,3012.70238360563,0,3012.70238360563,0,0,0,0,0,0,48,21.9460833333334
"2","Angola",0,"Africa",10489.8740365683,FALSE,30809762,6452.35516529031,26.7,28.5,25.8,0,2958.60976861858,0,7773.05639454692,0,0,0,0,0,0,0,0,0,0,0,2958.60976861858,0,2958.60976861858,0,0,0,0,0,0,3,18.08645
"3","Argentina",1,"Americas",19016.0102016356,FALSE,44494502,20610.5685495282,24.6960946,23.416969,17.697453,0,5588.71297268984,0,14260.8900111889,0,1170.46194705666,0,1892.34583826166,0,3578.37068651079,0,4798.0890148338,0,0,0,6759.1749197465,1170.46194705666,5588.71297268984,0,0,0,0,0,0,10,30.3884233333334
"4","Australia",33,"Oceania",7593.29903004739,TRUE,24992369,51663.3650948449,22.4552224,22.509158,17.510351,260700,260700,688594,688594,49818,49818,93884,93884,144659,144659,269254,269254,310518,49818,260700,310518,49818,260700,13,13,13,12,0,51,4508,181.362083333334
"5","Austria",24,"Europe",7097.26449545223,TRUE,8847037,55454.689293289,0.3,1.5,10.4,0,18268.9044780545,0,44697.618704424,0,1924.36178087425,0,3166.39406622491,0,5366.4242509906,0,7733.58816592787,0,0,0,20193.2662589288,1924.36178087425,18268.9044780545,0,0,0,0,0,0,61,19.2595833333333
"6","Azerbaijan",3,"Asia",4833.83738798431,FALSE,9942334,18044.1367837983,4.4,4.2,15.1,0,25530.3804123198,0,73656.0657586852,0,2987.43999391304,0,2899.278267018,0,8340.09278994338,0,8048.58712472892,0,0,0,28517.8204062328,2987.43999391304,25530.3804123198,0,0,0,0,0,0,17,25.8533833333333
"7","Bahrain",49,"Asia",5137.2332581795,FALSE,1569439,47303.0485062895,17.2,18,26.5,0,22605.2127023567,0,65216.851703878,0,2645.1512044585,0,2567.09069159173,0,7384.51869612901,0,7126.41257081115,0,0,0,25250.3639068152,2645.1512044585,22605.2127023567,0,0,0,0,0,0,19,39.8769633333334
"8","Bangladesh",0,"Asia",1918.8695754178,FALSE,161356039,4371.75498582046,18.6,22,25.9,0,29946.1562029753,0,86395.737740039,0,3504.1524356435,0,3400.74211421136,0,9782.6086960472,0,9440.68374061833,0,0,0,33450.3086386188,3504.1524356435,29946.1562029753,0,0,0,0,0,0,224,250.975976666667
"9","Belarus",1,"Europe",5945.70433192033,FALSE,9485386,19994.8040788005,-7,-5,6.7,0,18348.4757099275,0,44892.3016744056,0,1932.74344588637,0,3180.18547209423,0,5389.79801097261,0,7767.27224030136,0,0,0,20281.2191558139,1932.74344588637,18348.4757099275,0,0,0,0,0,0,14,70.1139633333334
"10","Belgium",8,"Europe",7540.91409975606,TRUE,11422068,51407.9983373414,3.3,3.7,10.5,0,18560.6760717236,0,45411.481730982,0,1955.09564914074,0,3216.96435871271,0,5452.13109553056,0,7857.10084544644,0,0,0,20515.7717208644,1955.09564914074,18560.6760717236,0,0,0,0,0,0,27,15.56083
"11","Bolivia",0,"Americas",17528.4076366565,FALSE,11353142,7873.16624301,10.1548323,9.830055,9.642443,0,5155.26142616503,0,13154.8384282258,0,1079.68280996743,0,1745.5785531707,0,3300.8380388893,0,4425.95698479282,0,0,0,6234.94423613246,1079.68280996743,5155.26142616503,0,0,0,0,0,0,4,21.0794366666667
"12","Bosnia and Herzegovina",0,"Europe",NA,FALSE,3323929,14623.6740532923,2,4,12,0,17150.8420618797,0,41962.1110758214,0,1806.59026453055,0,2972.60980266944,0,5037.99748235271,0,7260.29025795067,0,0,0,18957.4323264103,1806.59026453055,17150.8420618797,0,0,0,0,0,0,3,NA
"13","Botswana",0,"Africa",10611.4528301693,FALSE,2254126,18615.7933362283,25.8843899,25.026019,21.273728,0,2509.91661901278,0,6594.21990427157,0,0,0,0,0,0,0,0,0,0,0,2509.91661901278,0,2509.91661901278,0,0,0,0,0,0,4,19.9189333333333
"14","Brazil",2,"Americas",16335.9324947984,FALSE,209469333,16096.4009621464,25.1928997,25.316046,23.06983,0,6080.34663819808,0,15515.4066886192,0,1273.42635052153,0,2058.81366822897,0,3893.15648885086,0,5220.17225677603,0,0,0,7353.77298871961,1273.42635052153,6080.34663819808,0,0,0,0,0,0,33,105.716003333333
"15","Brunei Darussalam",0,"Asia",3725.06079556965,FALSE,428962,80920.0486841005,27,27,28,0,20549.9156255108,0,59287.2457128626,0,2404.65041333911,0,2333.68726982801,0,6713.10808434187,0,6478.46932347073,0,0,0,22954.5660388499,2404.65041333911,20549.9156255108,0,0,0,0,0,0,2,20.9297066666667
"16","Bulgaria",0,"Europe",6526.82516966556,FALSE,7024216,21960.3699424605,4,1.1,10.6,0,18005.3954474731,0,44052.9042833568,0,1896.60496009853,0,3120.72228377993,0,5289.01943157377,0,7622.0395876884,0,0,0,19902.0004075716,1896.60496009853,18005.3954474731,0,0,0,0,0,0,3,18.3788066666666
"17","Cambodia",1,"Asia",2650.34584085119,FALSE,16249798,4360.85440445566,26.6,28,28.3,0,26308.824325634,0,75901.9044474363,0,3078.52968557039,0,2987.67982952959,0,8594.38960667526,0,8293.99567551576,0,0,0,29387.3540112043,3078.52968557039,26308.824325634,36,23,24,27,4,127,5101,457.872283333333
"18","Cameroon",0,"Africa",9733.94598326085,FALSE,25216237,3785.07997826904,27.2202831,28.249182,26.998365,0,2924.2348685353,0,7682.74437038667,0,0,0,0,0,0,0,0,0,0,0,2924.2348685353,0,2924.2348685353,0,0,0,0,0,0,3,19.3002766666666
"19","Canada",30,"Americas",9282.7970003282,TRUE,37058856,48130.2559725043,4.1,4.9,7.62181,0,5530.68392134644,0,14112.8155041054,23914,23914,43677,43677,98045,98045,136412,136412,23914,23914,0,29444.6839213464,23914,5530.68392134644,0,0,0,0,0,0,1146,34.6857766666667
"20","Chile",1,"Americas",19562.9959911575,TRUE,18729160,25222.5277771449,20.9509291,20.093851,14.636519,0,5314.11995078479,0,13560.2025895296,0,1112.95305643413,0,1799.36826636685,0,3402.5528148278,0,4562.34211418047,0,0,0,6427.07300721891,1112.95305643413,5314.11995078479,0,0,0,0,0,0,5,18.79598
"21","Colombia",0,"Americas",15506.6832913535,FALSE,49648685,15012.9302675399,26.5,26.7,27.4,0,5623.49591009217,0,14349.6466975645,0,1177.74664835287,0,1904.12338832684,0,3600.64168954842,0,4827.95128020138,0,0,0,6801.24255844503,1177.74664835287,5623.49591009217,0,0,0,0,0,0,2,100.93128
"22","Cote D'Ivoire",0,"Africa",11202.3659007947,FALSE,25069229,4207.08693435064,28,29,27,0,2923.23164903748,0,7680.10864538659,0,0,0,0,0,0,0,0,0,0,0,2923.23164903748,0,2923.23164903748,0,0,0,0,0,0,6,19.1953733333333
"23","Croatia",9,"Europe",7060.49494170881,FALSE,4089400,27579.7808327382,0.3,2.3,10.7,0,17387.5475088475,0,42541.2465038125,0,1831.52371995568,0,3013.63594759358,0,5107.52884656097,0,7360.4923497444,0,0,0,19219.0712288032,1831.52371995568,17387.5475088475,0,0,0,0,0,0,23,21.8129966666667
"24","Cyprus",0,"Asia",6227.69570781947,FALSE,1189265,NA,10.6,10.6,19.7,0,22165.6924608966,0,63948.819998732,0,2593.72069984923,0,2517.17794202044,0,7240.93918271656,0,6987.85149575696,0,0,0,24759.4131607458,2593.72069984923,22165.6924608966,0,0,0,0,0,0,1,36.1672133333335
"25","Czech Republic",5,"Europe",6914.3209217925,TRUE,10625695,39743.5970941416,-1,0,9,0,18478.1325250552,0,45209.5265464262,0,1946.40089425506,0,3202.65778676198,0,5427.88422888694,0,7822.15853150223,0,0,0,20424.5334193102,1946.40089425506,18478.1325250552,0,0,0,0,0,0,60,19.2107133333333
"26","Denmark",8,"Europe",6982.52495444893,TRUE,5797446,55671.1652650668,2.5,1.5,15.2,62394,62394,127629,127629,0,1873.51273735914,0,3082.72575018388,0,5224.62267138576,0,7529.23700644966,62394,0,62394,64267.5127373591,1873.51273735914,62394,0,0,0,0,0,0,30,13.8465633333333
"27","Djibouti",0,"Africa",6679.38265964903,FALSE,958920,NA,25.1,25.7,29.9,0,2363.26562967497,0,6208.92866967553,0,0,0,0,0,0,0,0,0,0,0,2363.26562967497,0,2363.26562967497,0,0,0,0,0,0,12,21.1903333333333
"28","Ecuador",7,"Americas",16103.2985351681,FALSE,17084357,11734.3873890471,14.2,14,14.4,0,5284.95015535905,0,13485.7691294023,0,1106.84393332902,0,1789.49133383398,0,3383.87582400844,0,4537.29891090968,0,0,0,6391.79408868807,1106.84393332902,5284.95015535905,0,0,0,0,0,0,13,20.2394466666667
"29","Egypt",2,"Africa",6940.58043512582,FALSE,98423595,12412.3094005832,13.5481255,14.640628,21.036879,55464,55464,170008,170008,0,0,0,0,0,0,0,0,55464,0,55464,55464,0,55464,0,0,0,0,0,0,67,110.0297
"30","Estonia",2,"Europe",5949.68152350885,TRUE,1320884,35973.7764604798,-4,-6,5.9,0,16096.83982057,0,39383.336286547,0,1695.56655029696,0,2789.92854519832,0,4728.38815711061,0,6814.1102874962,0,0,0,17792.406370867,1695.56655029696,16096.83982057,0,0,0,0,0,0,3,73.09582
"31","Eswatini",0,"Africa",NA,FALSE,1136191,10637.8417276438,NA,NA,NA,0,2392.3705568244,0,6285.39507037878,0,0,0,0,0,0,0,0,0,0,0,2392.3705568244,0,2392.3705568244,0,0,0,0,0,0,2,NA
"32","Fiji",0,"Oceania",9833.7537874495,FALSE,883483,10879.4784622426,27.4,27.6,25.6,0,6937.7505525989,0,18522.5471839994,0,450.666427186611,0,1057.2602976472,0,1645.48205243502,0,2527.18657809802,0,0,0,7388.41697978551,450.666427186611,6937.7505525989,0,0,0,0,0,0,21,20.08703
"33","Finland",7,"Europe",5815.91468571818,TRUE,5518050,48416.93602994,-9,-3,5.403326,0,17729.7570023617,0,43378.5134278641,0,1867.57048297654,0,3072.9482129224,0,5208.05164075041,0,7505.35638866304,0,0,0,19597.3274853383,1867.57048297654,17729.7570023617,0,0,0,0,0,0,46,64.1112033333335
"34","France",212,"Europe",7917.44138228623,TRUE,66987244,45342.3957360832,5.3334749,6.008705,12.733475,313297,313297,795017,795017,32727,32727,74884,74884,91108,91108,192313,192313,346024,32727,313297,346024,32727,313297,14,13,13,13,1,81,813,462.406146666668
"35","Gabon",0,"Africa",10231.6082970033,FALSE,2119275,17875.7611482905,26.8168111,27.050433,25.916811,0,2499.33215669047,0,6566.41170076667,0,0,0,0,0,0,0,0,0,0,0,2499.33215669047,0,2499.33215669047,0,0,0,0,0,0,3,20.75624
"36","Georgia",3,"Asia",5121.90103027294,FALSE,3731000,12004.5738332821,1.7946449,3.232703,13.036273,0,23977.3459064761,0,69175.5053502422,0,2805.71150731181,0,2722.91273238817,0,7832.75793337109,0,7558.98480286294,0,0,0,26783.0574137879,2805.71150731181,23977.3459064761,0,0,0,0,0,0,20,36.4767500000001
"37","Germany",196,"Europe",7165.31577786437,TRUE,82927922,53074.5401181641,0.7837804,2.162165,10.162165,264109,264109,671099,671099,51219,51219,92219,92219,129526,129526,225957,225957,315328,51219,264109,315328,51219,264109,0,0,0,0,0,0,747,223.502166666667
"38","Ghana",0,"Africa",10807.1543093207,FALSE,29767108,4746.68499549277,26.8339998,27.630514,26.371525,0,2952.7026932259,0,7757.53693312922,0,0,0,0,0,0,0,0,0,0,0,2952.7026932259,0,2952.7026932259,0,0,0,0,0,0,8,19.0442366666666
"39","Greece",7,"Europe",6879.14644391462,TRUE,10727668,29592.1524196167,10.3131206,10.937707,19.225138,0,18489.0410082245,0,45236.2157888999,0,1947.54994334683,0,3204.54846151044,0,5431.0885561465,0,7826.77630792377,0,0,0,20436.5909515713,1947.54994334683,18489.0410082245,0,0,0,0,0,0,20,18.8757566666667
"40","Guam",0,"Oceania",NA,FALSE,165768,NA,NA,NA,NA,0,6089.87333567495,0,16258.86738784,0,395.589526807006,0,928.050273167794,0,1444.38419909777,0,2218.33374370451,0,0,0,6485.46286248196,395.589526807006,6089.87333567495,0,0,0,0,0,0,25,NA
"41","Guyana",0,"Americas",15085.9469185518,FALSE,779004,8640.73737016211,26.1,26.4,26.8,0,4305.02163138109,0,10985.2555106916,0,901.614383384973,0,1457.68619851835,0,2756.44200834929,0,3695.99889976275,0,0,0,5206.63601476606,901.614383384973,4305.02163138109,0,0,0,0,0,0,3,20.83583
"42","Hungary",0,"Europe",6756.50320600823,TRUE,9768785,31102.5027541193,0.4,2.3,11.3,0,18382.0995263216,0,44974.5673913442,0,1936.28522296849,0,3186.01320264271,0,5399.67488475695,0,7781.50586601607,0,0,0,20318.3847492901,1936.28522296849,18382.0995263216,0,0,0,0,0,0,21,21.0649366666666
"43","Iceland",16,"Europe",7689.34873306496,TRUE,353574,57303.060783165,NA,NA,NA,0,14591.5656794462,0,35700.4570155758,0,1537.00794431177,0,2529.03216171667,0,4286.21935246119,0,6176.89800701949,0,0,0,16128.573623758,1537.00794431177,14591.5656794462,0,0,0,0,0,0,4,NA
"44","India",6,"Asia",2779.54702281376,FALSE,1352617328,7762.88176956734,22.0458109,23.687852,26.906877,56213,56213,189140,189140,27055,27055,42593,42593,74981,74981,100722,100722,83268,27055,56213,83268,27055,56213,0,0,0,0,0,0,698,159.090703333333
"45","Indonesia",2,"Asia",4210.32838447348,FALSE,267663435,13079.619296594,26.1,26.1,26.7,536639,536639,1414261,1414261,47015,47015,76516,76516,144150,144150,239380,239380,583654,47015,536639,583654,47015,536639,16,10,16,19,5,106,4091,884.401296666667
"46","Iran",2336,"Asia",4514.09113127434,FALSE,81800269,NA,2.2690044,5.321212,17.209025,0,28869.7355892666,0,83290.2255531125,0,3378.19497086111,0,3278.50175425222,0,9430.97085695703,0,9101.33646289004,0,0,0,32247.9305601277,3378.19497086111,28869.7355892666,0,0,0,0,0,0,86,103.58682
"47","Iraq",31,"Asia",5416.08023296824,FALSE,38433600,17435.8539331446,9.7,12,22.77,0,27672.866203174,0,79837.2143255926,0,3238.1431810422,0,3142.58300398233,0,9039.98562382521,0,8724.01707417311,0,0,0,30911.0093842162,3238.1431810422,27672.866203174,0,0,0,0,0,0,4,24.4395366666667
"48","Ireland",2,"Europe",8102.86346342445,TRUE,4853506,83203.3946770927,5.3,5.3,9.8,0,17583.1963602675,0,43019.9308042989,0,1852.13246376935,0,3047.5461014807,0,5164.99998513965,0,7443.31437357384,0,0,0,19435.3288240369,1852.13246376935,17583.1963602675,0,0,0,0,0,0,30,11.1782433333333
"49","Israel",12,"Asia",6234.74951008066,TRUE,8883800,39919.1696489174,14,14,21,0,25352.0064862003,0,73141.4505661302,0,2966.56755127198,0,2879.02178673652,0,8281.8227966602,0,7992.35380340874,0,0,0,28318.5740374723,2966.56755127198,25352.0064862003,0,0,0,0,0,0,49,19.8796766666666
"50","Italy",2502,"Europe",7445.36320382815,TRUE,60431283,41830.4263276444,5.1567473,6.559723,14.168969,277442,277442,704282,704282,22806,22806,46671,46671,54794,54794,100065,100065,300248,22806,277442,300248,22806,277442,14,13,13,12,4,56,1852,1100.01195333333
"51","Jamaica",0,"Americas",13940.7094340829,FALSE,2934855,9326.66405867008,25.8,25.9,27.4,0,4725.94634068465,0,12059.3419795626,0,989.769985081331,0,1600.21187943352,0,3025.95390641248,0,4057.37623899109,0,0,0,5715.71632576598,989.769985081331,4725.94634068465,0,0,0,0,0,0,2,20.6291166666667
"52","Japan",287,"Asia",3039.10059541617,TRUE,126529100,42797.4585169914,5.4920024,5.982104,15.155512,2330974,2330974,5738773,5738773,163695,163695,177596,177596,551342,551342,544866,544866,2494669,163695,2330974,2494669,163695,2330974,84,108,112,118,14,558,14280,999.890006666666
"53","Jordan",1,"Asia",6099.46619616143,FALSE,9956011,9478.90458750285,9,10,18,0,25532.5586404775,0,73662.3500252663,0,2987.69487949677,0,2899.52563072573,0,8340.80435885305,0,8049.27382264811,0,0,0,28520.2535199743,2987.69487949677,25532.5586404775,0,0,0,0,0,0,6,25.35589
"54","Kazakhstan",0,"Asia",3229.82308786891,FALSE,18276499,27879.7519462896,-4.5,-15,8.554985,0,26495.062477555,0,76439.2082142871,0,3100.32236137294,0,3008.8293861611,0,8655.22863229745,0,8352.708235512,0,0,0,29595.384838928,3100.32236137294,26495.062477555,0,0,0,0,0,0,57,76.8328899999999
"55","Kenya",0,"Africa",7847.62795928178,FALSE,51393010,3467.55647830821,20.3812378,21.11697,19.938128,15108,15108,30400,30400,0,0,0,0,0,0,0,0,15108,0,15108,15108,0,15108,0,0,0,0,0,0,34,99.3982333333334
"56","Kuwait",56,"Asia",5246.04513091911,FALSE,4137309,72897.562345371,13,15,26,0,24141.1372382233,0,69648.0492335311,0,2824.87756622733,0,2741.51318568309,0,7886.264182902,0,7610.62088436869,0,0,0,26966.0148044507,2824.87756622733,24141.1372382233,0,0,0,0,0,0,25,38.9135900000001
"57","Kyrgyzstan",0,"Asia",2576.16522011189,FALSE,6315800,3884.70880922506,-4,-2,11.3,0,24811.4058324308,0,71581.7982358414,0,2903.30911219963,0,2817.63015444211,0,8105.22301467787,0,7821.92659506797,0,0,0,27714.7149446304,2903.30911219963,24811.4058324308,0,0,0,0,0,0,52,215.625723333333
"58","Laos",0,"Asia",2007.72692671289,FALSE,7061507,7439.5993595197,21.7,24,25.9,0,24988.2453762668,0,72091.9866803204,0,2924.00200894574,0,2837.71238737059,0,8162.9917662869,0,7877.67619427781,0,0,0,27912.2473852125,2924.00200894574,24988.2453762668,0,0,0,0,0,0,377,164.865493333333
"59","Latvia",1,"Europe",6048.18561236398,TRUE,1926542,30304.852496882,-4,-5,6.2,0,16527.9054216732,0,40438.0030235617,0,1740.97300413271,0,2864.64148505338,0,4855.01210975686,0,6996.58887210069,0,0,0,18268.8784258059,1740.97300413271,16527.9054216732,0,0,0,0,0,0,2,72.5635166666667
